,Digit,,,,,,,,,
Pair Index,0,1,2,3,4,5,6,7,8,9
1,,,,,6,,,6,8,
2,,,,,8,,,6,7,
3,,,,,3,,,6,5,
4,,,,,3,,,3,5,
5,,,,,7,,,2,5,
6,,,,,5,,,5,3,
7,,,,,5,,,7,5,
8,,,,,3,,,3,9,
9,,,,,3,,,8,5,
10,,,,,5,,,4,5,
11,,,,,5,,,4,4,
12,,,,,7,,,4,6,
13,,,,,3,,,4,3,
14,,,,,3,,,8,3,
15,,,,,6,,,1,6,
16,,,,,7,,,9,7,
17,,,,,5,,,9,7,
18,,,,,8,,,9,8,
19,,,,,9,,,4,8,
20,,,,,4,,,5,5,
21,,,,,5,,,3,6,
22,,,,,5,,,3,7,
23,,,,,8,,,9,7,
24,,,,,8,,,5,3,
25,,,,,4,,,5,6,
26,,,,,7,,,5,3,
27,,,,,3,,,5,8,
28,,,,,1,,,6,4,
29,,,,,1,,,7,5,
30,,,,,1,,,5,9,
