,Digit,,,,,,,,,
Pair Index,0,1,2,3,4,5,6,7,8,9
1,,,,,2,,,4,3,
2,,,,,6,,,5,5,
3,,,,,6,,,2,6,
4,,,,,6,,,2,7,
5,,,,,1,,,8,4,
6,,,,,4,,,6,4,
7,,,,,4,,,5,4,
8,,,,,7,,,2,5,
9,,,,,6,,,9,3,
10,,,,,2,,,3,3,
11,,,,,3,,,3,3,
12,,,,,3,,,5,7,
13,,,,,3,,,3,7,
14,,,,,6,,,3,3,
15,,,,,1,,,3,3,
16,,,,,2,,,6,2,
17,,,,,4,,,4,5,
18,,,,,7,,,7,4,
19,,,,,8,,,3,3,
20,,,,,3,,,7,2,
21,,,,,5,,,7,6,
22,,,,,5,,,7,4,
23,,,,,3,,,9,2,
24,,,,,3,,,7,6,
25,,,,,2,,,9,7,
26,,,,,6,,,7,6,
27,,,,,7,,,3,6,
28,,,,,3,,,3,7,
29,,,,,4,,,5,7,
30,,,,,8,,,4,9,
